Gene	Gene description	Protein class	RNA cancer category	RNA TS TPM
PRTN3	Proteinase 3	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Tissue enhanced	bone marrow: 616.4
DEFA4	Defensin alpha 4	Predicted secreted proteins	Not detected	bone marrow: 3105.2
AZU1	Azurocidin 1	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Mixed	bone marrow: 1311.2
DEFA1B	Defensin alpha 1B	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters	Not detected	bone marrow: 46364.0
ELANE	Elastase, neutrophil expressed	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Group enriched	bone marrow: 1199.6
RNASE3	Ribonuclease A family member 3	Predicted secreted proteins	Tissue enriched	bone marrow: 572.3
DEFA1	Defensin alpha 1	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters	Not detected	bone marrow: 30312.0
MS4A3	Membrane spanning 4-domains A3	Predicted membrane proteins, Predicted secreted proteins	Not detected	bone marrow: 305.3
DEFA3	Defensin alpha 3	Cancer-related genes, Predicted secreted proteins	Not detected	bone marrow: 23273.5
PRSS57	Protease, serine 57	Enzymes, Predicted secreted proteins	Tissue enriched	bone marrow: 103.3
NKX2-5	NK2 homeobox 5	Disease related genes, Predicted intracellular proteins, Transcription factors	Mixed	heart muscle: 32.7;spleen: 14.5
MMP8	Matrix metallopeptidase 8	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Tissue enriched	bone marrow: 335.8
CAMP	Cathelicidin antimicrobial peptide	Predicted secreted proteins	Tissue enhanced	bone marrow: 1341.0;epididymis: 330.5
IFIT1B	Interferon induced protein with tetratricopeptide repeats 1B	Predicted intracellular proteins	Not detected	bone marrow: 15.3;placenta: 4.1
CEACAM8	Carcinoembryonic antigen related cell adhesion molecule 8	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Not detected	bone marrow: 142.1
CTSG	Cathepsin G	Enzymes, Plasma proteins, Predicted secreted proteins	Mixed	bone marrow: 3457.0
MPO	Myeloperoxidase	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Tissue enhanced	bone marrow: 2499.6
RNASE2	Ribonuclease A family member 2	Enzymes, Plasma proteins, Predicted secreted proteins	Tissue enriched	bone marrow: 995.8
OR5AK2	Olfactory receptor family 5 subfamily AK member 2	G-protein coupled receptors, Predicted membrane proteins	Not detected	spleen: 7.2
HBD	Hemoglobin subunit delta	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Not detected	bone marrow: 1221.3
PGLYRP1	Peptidoglycan recognition protein 1	Plasma proteins, Predicted secreted proteins	Not detected	bone marrow: 421.1
PRG3	Proteoglycan 3, pro eosinophil major basic protein 2	Predicted secreted proteins	Not detected	bone marrow: 29.3
VSTM1	V-set and transmembrane domain containing 1	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	bone marrow: 35.4
BPI	Bactericidal/permeability-increasing protein	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Not detected	bone marrow: 961.6
HBA1	Hemoglobin subunit alpha 1	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters	Tissue enhanced	bone marrow: 17119.3;placenta: 3433.6
SERPINB10	Serpin family B member 10	Plasma proteins, Predicted intracellular proteins	Not detected	bone marrow: 50.1
CA1	Carbonic anhydrase 1	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Group enriched	bone marrow: 1216.6;colon: 1022.8;rectum: 2316.0
HBM	Hemoglobin subunit mu	Predicted intracellular proteins	Not detected	bone marrow: 269.1
RAB44	RAB44, member RAS oncogene family	Predicted intracellular proteins	Not detected	bone marrow: 38.8
